20231234, Sarah, Johnson, F, 1999-05-02, 123-45-6789
20231235, Kevin, Lee, M, 2000-01-12, 234-56-7890
20231236, Maria, Rodriguez, F, 1998-11-25, 345-67-8901
20231237, Michael, Kim, M, 1999-07-17, 456-78-9012
20231238, Emily, Chen, F, 1998-03-09, 567-89-0123
20231239, David, Wang, M, 2000-09-23, 678-90-1234
20231240, Jennifer, Nguyen, F, 1999-12-06, 789-01-2345
20231241, Christopher, Brown, M, 1998-04-15, 890-12-3456
20231242, Samantha, Park, F, 1999-10-30, 901-23-4567
20231243, Daniel, Kim, M, 1998-08-03, 012-34-5678
20231244, Tiffany, Lee, F, 2000-06-28, 123-45-6789
20231245, Justin, Wong, M, 1998-02-18, 234-56-7890
20231246, Rachel, Lee, F, 1999-09-11, 345-67-8901
20231247, Alexander, Kim, M, 2000-05-24, 456-78-9012
20231248, Jessica, Park, F, 1998-01-07, 567-89-0123
